Date,Source,Team,Player,Sentiment
2025-10-08,Grok,Calgary Flames,Joel Farabee,-1
2025-10-08,Gemini,Calgary Flames,Joel Farabee,0
2025-10-08,Grok,Calgary Flames,Joel Hanley,0
2025-10-08,Perplexity,Calgary Flames,Joel Hanley,0
2025-10-08,Grok,Washington Capitals,John Carlson,1
2025-10-08,Perplexity,Washington Capitals,John Carlson,1
2025-10-08,Gemini,Washington Capitals,John Carlson,2
2025-10-08,Grok,Calgary Flames,Justin Kirkland,0
2025-10-08,Perplexity,Calgary Flames,Justin Kirkland,0
2025-10-08,Grok,Edmonton Oilers,Kasperi Kapanen,0
2025-10-08,Perplexity,Edmonton Oilers,Kasperi Kapanen,1
2025-10-08,Grok,Calgary Flames,Kevin Bahl,-2
2025-10-08,Perplexity,Calgary Flames,Kevin Bahl,0
2025-10-08,Gemini,Edmonton Oilers,Leon Draisaitl,3
2025-10-08,Grok,Edmonton Oilers,Leon Draisaitl,3
2025-10-08,Perplexity,Edmonton Oilers,Leon Draisaitl,3
2025-10-08,Grok,Washington Capitals,Logan Thompson,2
2025-10-08,Perplexity,Washington Capitals,Logan Thompson,1
2025-10-08,Gemini,Washington Capitals,Logan Thompson,2
2025-10-08,Gemini,Calgary Flames,MacKenzie Weegar,2
2025-10-08,Grok,Calgary Flames,MacKenzie Weegar,1
2025-10-08,Perplexity,Calgary Flames,MacKenzie Weegar,1
2025-10-08,Gemini,Washington Capitals,Martin Fehervary,0
2025-10-08,Perplexity,Boston Bruins,Mason Lohrei,0
2025-10-08,Gemini,Boston Bruins,Mason Lohrei,0
2025-10-08,Grok,Calgary Flames,Matt Coronato,0
2025-10-08,Perplexity,Calgary Flames,Matt Coronato,2
2025-10-08,Gemini,Calgary Flames,Matt Coronato,1
2025-10-08,Gemini,Edmonton Oilers,Matt Savoie,1
2025-10-08,Perplexity,Edmonton Oilers,Matthew Savoie,1
2025-10-08,Grok,Edmonton Oilers,Matthew Savoie,0
2025-10-08,Perplexity,Edmonton Oilers,Mattias Ekholm,1
2025-10-08,Grok,Edmonton Oilers,Mattias Ekholm,1
2025-10-08,Perplexity,Calgary Flames,Matvei Gridin,1
2025-10-08,Grok,Calgary Flames,Matvei Gridin,2
2025-10-08,Grok,Calgary Flames,Mikael Backlund,1
2025-10-08,Perplexity,Calgary Flames,Mikael Backlund,2
2025-10-08,Gemini,Calgary Flames,Mikael Backlund,0
2025-10-08,Grok,Calgary Flames,Morgan Frost,0
2025-10-08,Perplexity,Calgary Flames,Morgan Frost,1
2025-10-08,Gemini,Calgary Flames,Morgan Frost,1
2025-10-08,Gemini,Boston Bruins,Morgan Geekie,1
2025-10-08,Perplexity,Boston Bruins,Morgan Geekie,0
2025-10-08,Grok,Calgary Flames,Nazem Kadri,2
2025-10-08,Perplexity,Calgary Flames,Nazem Kadri,2
2025-10-08,Gemini,Calgary Flames,Nazem Kadri,2
2025-10-08,Grok,Boston Bruins,Nikita Zadorov,0
2025-10-08,Gemini,Edmonton Oilers,Noah Philp,0
2025-10-08,Perplexity,Edmonton Oilers,Noah Philp,0
2025-10-08,Grok,Edmonton Oilers,Noah Philp,0
2025-10-08,Perplexity,Boston Bruins,Pavel Zacha,0
2025-10-08,Grok,Boston Bruins,Pavel Zacha,0
2025-10-08,Gemini,Boston Bruins,Pavel Zacha,0
2025-10-08,Gemini,Washington Capitals,Pierre-Luc Dubois,2
2025-10-08,Perplexity,Washington Capitals,Pierre-Luc Dubois,1
2025-10-08,Grok,Washington Capitals,Pierre-Luc Dubois,1
2025-10-08,Perplexity,Calgary Flames,Rasmus Andersson,1
2025-10-08,Grok,Calgary Flames,Rasmus Andersson,-2
2025-10-08,Gemini,Calgary Flames,Rasmus Andersson,0
2025-10-08,Perplexity,Calgary Flames,Ryan Lomberg,0
2025-10-08,Grok,Calgary Flames,Ryan Lomberg,0
2025-10-08,Gemini,Edmonton Oilers,Ryan Nugent-Hopkins,2
2025-10-08,Grok,Edmonton Oilers,Ryan Nugent-Hopkins,1
2025-10-08,Perplexity,Edmonton Oilers,Ryan Nugent-Hopkins,2
2025-10-08,Grok,Edmonton Oilers,Stuart Skinner,1
2025-10-08,Perplexity,Edmonton Oilers,Stuart Skinner,2
2025-10-08,Gemini,Edmonton Oilers,Stuart Skinner,1
2025-10-08,Gemini,Washington Capitals,Tom Wilson,2
2025-10-08,Perplexity,Washington Capitals,Tom Wilson,1
2025-10-08,Grok,Edmonton Oilers,Trent Frederic,2
2025-10-08,Gemini,Edmonton Oilers,Trent Frederic,2
2025-10-08,Perplexity,Edmonton Oilers,Trent Frederic,1
2025-10-08,Perplexity,Edmonton Oilers,Ty Emberson,0
2025-10-08,Grok,Edmonton Oilers,Ty Emberson,0
2025-10-08,Grok,Edmonton Oilers,Vasily Podkolzin,0
2025-10-08,Perplexity,Edmonton Oilers,Vasily Podkolzin,0
2025-10-08,Gemini,Boston Bruins,Viktor Arvidsson,0
2025-10-08,Grok,Boston Bruins,Viktor Arvidsson,1
2025-10-08,Perplexity,Boston Bruins,Viktor Arvidsson,1
2025-10-08,Perplexity,Calgary Flames,Yegor Sharangovich,1
2025-10-08,Grok,Calgary Flames,Yegor Sharangovich,-2
2025-10-08,Gemini,Calgary Flames,Yegor Sharangovich,0
